iso,adm1,year,delta
BRA,12,2001,0.01144991585647199
BRA,12,2002,0.01823993925823441
BRA,12,2003,0.01943547550613233
BRA,12,2004,0.02179529592709342
BRA,12,2005,0.01322759768205055
BRA,12,2006,0.00927759376672553
BRA,12,2007,0.00784442028069914
BRA,12,2008,0.00664049577548398
BRA,12,2009,0.00334906642790221
BRA,12,2010,0.00746372948845664
BRA,12,2011,0.00502734040131836
BRA,12,2012,0.00745828056201473
BRA,12,2013,0.00342787568341935
BRA,12,2014,0.00567828633974407
BRA,12,2015,0.00481533012521704
BRA,12,2016,0.00599912740643886
BRA,12,2017,0.00789870169098745
BRA,12,2018,0.00559486820088261
BRA,12,2019,0.00511553665447515
BRA,12,2020,0.00507533050843691
BRA,12,2021,0.00491456798629236
BRA,12,2022,0.00563820552724071
BRA,12,2023,0.00331039464957498
BRA,12,2024,0.00317730097873163
BRA,12,2025,0.00260701195719498
IDN,23,2001,3.3034309782926e-4
IDN,23,2002,4.8221584235154e-4
IDN,23,2003,2.6698044004469e-4
IDN,23,2004,4.693517052812e-4
IDN,23,2005,3.5718611642864e-4
IDN,23,2006,5.655558598957e-4
IDN,23,2007,5.6139844368507e-4
IDN,23,2008,4.14814652556e-4
IDN,23,2009,5.619537887953e-4
IDN,23,2010,6.3692869922166e-4
IDN,23,2011,6.4597139889995e-4
IDN,23,2012,0.00123633757486969
IDN,23,2013,0.00114726010850234
IDN,23,2014,0.00169510979897234
IDN,23,2015,0.00204173802498384
IDN,23,2016,0.00167214944043601
IDN,23,2017,0.00136100115664767
IDN,23,2018,9.5411293814461e-4
IDN,23,2019,9.876776826543e-4
IDN,23,2020,8.6733767541155e-4
IDN,23,2021,7.6016544998851e-4
IDN,23,2022,7.9192976584009e-4
IDN,23,2023,6.2683360110235e-4
IDN,23,2024,6.2363911918693e-4
IDN,23,2025,0.00114519372741615
USA,5,2001,0.00232468157106838
USA,5,2002,0.00238090229638365
USA,5,2003,0.00215251660188471
USA,5,2004,0.00256022667266402
USA,5,2005,0.0027569085194661
USA,5,2006,0.00295749359365855
USA,5,2007,0.00288758692175214
USA,5,2008,0.00286906980878129
USA,5,2009,0.00218486105658244
USA,5,2010,0.00201371813782127
USA,5,2011,0.00211392681035839
USA,5,2012,0.00192675595348911
USA,5,2013,0.00143175779670735
USA,5,2014,0.00230437937366731
USA,5,2015,0.00156328433674954
USA,5,2016,0.00349269193942666
USA,5,2017,0.00348038052584294
USA,5,2018,0.00239099513056965
USA,5,2019,0.00250530959936884
USA,5,2020,0.00239592281074018
USA,5,2021,0.0022748113956405
USA,5,2022,0.00183385114732808
USA,5,2023,0.00271887620437554
USA,5,2024,0.00291424383159683
USA,5,2025,0.00257580380487447
