"year","lc1","lc1p","lc2","lc2p","lc3","lc3p","lc4","lc4p","lc5","lc5p","lc_tot","unmapped","season","ba_area_ha","ba_count","firesize"
2002,926724.426,15.44,2830811.254,47.15,1984455.039,33.05,232325.084,3.87,29365.306,0.49,6003681.109,2.90023713595879,TRUE,2749816,7979,344.632
2003,860201.703,18.37,2050204.991,43.78,1570829.242,33.54,200662.928,4.28,1373.815,0.03,4683272.679,0.00772186909502083,TRUE,2406375,7393,325.494
2004,1052450.006,17.03,2797131.308,45.27,2130723.457,34.48,190015.856,3.08,8586.347,0.14,6178906.974,0.120724156281511,TRUE,2947923,8868,332.423
2005,888193.192,17.7,2411046.216,48.04,1586563.722,31.61,114863.855,2.29,18095.727,0.36,5018762.712,0.0306818236393297,TRUE,2405417,6869,350.184
2006,489464.707,14.32,1573254.882,46.02,1244161.673,36.4,109926.706,3.22,1459.678,0.04,3418267.646,0.0270354401440206,TRUE,1985945,5293,375.202
2007,1182941.017,13.17,4801012.953,53.44,2755229.937,30.67,233763.294,2.6,10303.617,0.11,8983250.818,0.0101185157688418,TRUE,3142768,8107,387.661
2008,283370.914,7.7,1932207.116,52.53,1295636.819,35.23,150540.128,4.09,16206.73,0.44,3677961.707,0.124528734058148,TRUE,1843754,4735,389.388
2009,74014.309,4.78,566913.554,36.63,736665.636,47.6,162603.946,10.51,7319.862,0.47,1547517.307,0.01192984285558,FALSE,965937,3371,286.543
2010,1263352.155,12.54,5814631.213,57.7,2676192.613,26.56,266455.814,2.64,56240.573,0.56,10076872.368,0.0691784554805669,TRUE,2782222,6398,434.858
2011,291055.694,12.16,1180107.523,49.3,767018.373,32.04,117160.705,4.89,38595.63,1.61,2393937.925,0.131016685695329,FALSE,1116424,2889,386.44
2012,417446.72,10.76,2150600.853,55.43,1151965.769,29.69,142490.43,3.67,17194.16,0.44,3879697.932,0.0775192604255741,TRUE,1410306,3695,381.68
2013,204204.8,8.09,1151214.467,45.64,996424.097,39.5,148286.213,5.88,22496.229,0.89,2522625.806,0.0223232217029479,FALSE,1311624,4191,312.962
2014,368783.6,11.6,1664613.616,52.38,1035771.03,32.59,107243.478,3.37,1567.008,0.05,3177978.732,0.0565327824126626,FALSE,1545765,4086,378.308
2015,370565.269,9.56,1968162.445,50.77,1310405.338,33.81,221076.967,5.7,6117.773,0.16,3876327.792,0.000377689494962884,TRUE,1734921,5126,338.455
2016,493672.017,12.31,1929395.088,48.1,1332214.661,33.21,255229.164,6.36,407.852,0.01,4010918.782,0.0026082319292723,TRUE,1834423,5205,352.435
2017,654408.431,13.99,2651013.151,56.69,1219626.183,26.08,146075.225,3.12,5194.74,0.11,4676317.73,0.00578003175152025,TRUE,1521682,4086,372.414
2018,222708.375,9.91,1009003.097,44.91,792691.548,35.28,221205.765,9.85,965.964,0.04,2246574.749,0.00322914540698438,FALSE,1106105,3641,303.792
2019,594797.718,12.55,2497532.196,52.69,1357844.903,28.65,262527.559,5.54,27068.459,0.57,4739770.835,0.00173618478698658,TRUE,1895456,4736,400.223
2020,1542580.158,20.66,3802249.082,50.93,1631019.533,21.85,295649.393,3.96,194029.974,2.6,7465528.14,0.00100651247025983,TRUE,2226842,5599,397.721
2021,446511.507,13.34,1558572.229,46.55,1069880.294,31.95,176148.908,5.26,97025.718,2.9,3348138.656,0.0322538811696919,FALSE,1298009,3519,368.857
2022,643181.781,19.2,1376155.29,41.08,1123630.825,33.54,199374.976,5.95,7770.644,0.23,3350113.516,0.0952489091911756,TRUE,1550954,4534,342.072
2023,288372.463,12.02,1104075.423,46.02,712774.125,29.71,221270.16,9.22,72447.302,3.02,2398939.473,0.000381644381935008,FALSE,1049971,3276,320.504
