"year","lc1","lc1p","lc2","lc2p","lc3","lc3p","lc4","lc4p","lc5","lc5p","lc_tot","unmapped","season","ba_area_ha","ba_count","firesize"
2002,20542.836,6.74,249519.242,81.88,7985.303,2.62,0,0,26682.073,8.76,304729.454,20.2015372827898,TRUE,148770,542,274.483
2003,4379.037,4.26,88052.988,85.57,3520.403,3.42,0,0,6954.941,6.76,102907.369,8.73577217064446,TRUE,61050,321,190.187
2004,48019.145,13.74,255014.505,72.99,6375.362,1.82,0,0,39969.445,11.44,349378.457,8.6406136393393,TRUE,150620,701,214.864
2005,1395.281,1.98,62551.538,88.57,2532.972,3.59,0,0,4142.913,5.87,70622.704,13.72551230898,FALSE,40080,203,197.438
2006,12965.384,6.15,171877.199,81.55,6160.703,2.92,0,0,19748.597,9.37,210751.883,10.7797024174374,TRUE,89378,431,207.374
2007,429.317,2.29,15133.437,80.57,1481.144,7.89,0,0,1738.735,9.26,18782.633,10.5311683075889,FALSE,8123,50,162.46
2008,236.125,1.19,16421.389,82.61,107.329,0.54,0,0,3112.551,15.66,19877.394,12.6536562273334,FALSE,10946,61,179.443
2009,10561.207,11.25,76740.475,81.73,4164.379,4.44,0,0,2425.644,2.58,93891.705,10.1166426470024,FALSE,47302,222,213.072
2010,708.374,26.61,1073.294,40.32,751.305,28.23,0,0,128.795,4.84,2661.768,8.07547160951161,FALSE,1175,8,146.875
2011,1395.282,2.49,47718.621,85.14,2447.109,4.37,128.795,0.23,4357.571,7.77,56047.378,15.3570946203795,FALSE,27689,158,175.247
2012,2404.177,3.01,67059.369,83.93,4980.081,6.23,0,0,5452.33,6.82,79895.957,10.8767650313398,FALSE,36053,200,180.265
2013,3649.197,3.37,91530.46,84.4,6847.612,6.31,171.727,0.16,6246.567,5.76,108445.563,10.886291148926,TRUE,52503,280,187.511
2014,21294.141,7.03,245676.851,81.14,11892.091,3.93,214.659,0.07,23719.783,7.83,302797.525,10.3005063548782,TRUE,147243,675,218.138
2015,129396.249,23.48,363030.748,65.88,17687.875,3.21,0,0,40892.478,7.42,551007.35,7.66071791471209,TRUE,236064,994,237.489
2016,16786.308,30.16,35332.817,63.48,493.715,0.89,0,0,3048.154,5.48,55660.994,9.41829463576359,FALSE,12303,77,159.779
2017,772.771,1.97,32649.585,83.21,2597.37,6.62,85.863,0.22,3134.017,7.99,39239.606,14.4307868563823,FALSE,22648,124,182.645
2018,14897.312,5.86,211030.942,82.99,13008.315,5.12,0,0,15348.095,6.04,254284.664,11.881259918668,TRUE,134404,638,210.665
2019,7019.339,3.78,150346.934,80.91,11655.965,6.27,0,0,16807.774,9.04,185830.012,12.6655253901101,TRUE,77107,416,185.353
2020,1717.27,2.21,61199.186,78.58,6482.692,8.32,558.112,0.72,7920.904,10.17,77878.164,9.90846483220497,FALSE,44831,203,220.842
2021,21.466,50,21.466,50,0,0,0,0,0,0,42.932,9.72232648972118,FALSE,0,0,0
2022,42.932,100,0,0,0,0,0,0,0,0,42.932,7.96672225892813,FALSE,0,0,0
2023,15970.604,6.94,186087.605,80.88,16206.73,7.04,0,0,11806.227,5.13,230071.166,8.98160978381275,TRUE,105129,527,199.486
