"year","lc1","lc1p","lc2","lc2p","lc3","lc3p","lc4","lc4p","lc5","lc5p","lc_tot","unmapped","season","ba_area_ha","ba_count","firesize"
2002,8972.733,4.23,25501.449,12.01,158825.952,74.79,18997.293,8.95,64.398,0.03,212361.825,0.538054615955844,TRUE,91874,175,524.994
2003,12750.725,3.46,22023.98,5.97,305394.895,82.77,28399.342,7.7,386.385,0.1,368955.327,0.350773982997043,TRUE,87600,275,318.545
2004,4207.31,2.88,29279.442,20.01,71674.532,48.99,41021.273,28.04,107.33,0.07,146289.887,0.375840807817895,FALSE,86166,222,388.135
2005,772.772,0.76,5001.547,4.89,75431.058,73.76,21058.015,20.59,0,0,102263.392,0.46454855014544,FALSE,62355,196,318.138
2006,33400.89,10.7,30309.805,9.71,207746.664,66.53,40742.217,13.05,64.398,0.02,312263.974,0.509179728209404,TRUE,123780,282,438.936
2007,13952.815,3.42,67381.357,16.5,302969.25,74.2,23719.782,5.81,279.057,0.07,408302.261,0.157964674210515,TRUE,79992,148,540.486
2008,149295.108,35,120058.595,28.15,140021.851,32.83,16807.774,3.94,343.454,0.08,426526.782,0.48041401680199,TRUE,119568,322,371.329
2009,9530.846,4.82,43919.166,22.22,116044.483,58.71,28098.822,14.22,64.398,0.03,197657.715,0.271180260285251,FALSE,65622,183,358.59
2010,1459.679,2.28,3541.869,5.54,36019.725,56.31,22861.148,35.74,85.864,0.13,63968.285,0.625570153304114,FALSE,30539,132,231.356
2011,429.318,0.44,7727.713,7.85,56219.104,57.13,34001.933,34.55,21.466,0.02,98399.534,0.488362034060927,FALSE,71840,156,460.513
2012,43983.563,16.48,44992.458,16.86,167841.619,62.88,10067.492,3.77,42.932,0.02,266928.064,0.181760690050098,TRUE,43982,111,396.234
2013,41622.317,20.15,74550.96,36.09,82622.122,40,7641.849,3.7,128.795,0.06,206566.043,0.250419338248086,FALSE,49599,121,409.909
2014,86357.185,44.43,36577.84,18.82,60319.086,31.04,11033.455,5.68,64.398,0.03,194351.964,0.248550243954307,FALSE,50101,163,307.368
2015,89233.61,32.18,69184.489,24.95,91444.595,32.98,27411.913,9.89,0,0,277274.607,0.222151469343507,TRUE,51268,211,242.976
2016,37522.336,17.29,56412.3,25.99,114863.857,52.92,7684.779,3.54,558.113,0.26,217041.385,0.46730852139635,TRUE,116607,109,1069.789
2017,87494.877,19.34,137424.484,30.38,209163.411,46.24,17988.397,3.98,236.124,0.05,452307.293,0.616429933100314,TRUE,106627,253,421.451
2018,184241.54,30.59,219574.356,36.46,173530.071,28.81,22989.945,3.82,1888.996,0.31,602224.908,0.216889182741381,TRUE,94136,218,431.817
2019,8822.472,7.3,45743.764,37.87,46580.931,38.56,19641.27,16.26,0,0,120788.437,0.625072311208161,FALSE,53245,155,343.516
2020,475275.77,31.12,515245.213,33.74,511316.961,33.48,20693.095,1.36,4550.763,0.3,1527081.802,0.236872770823394,TRUE,173707,328,529.595
2021,309194.352,33.07,428587.506,45.83,186581.317,19.95,9745.503,1.04,987.431,0.11,935096.109,0.202840406150899,TRUE,67422,223,302.341
2022,39668.922,33.36,36406.113,30.61,37951.653,31.91,4615.161,3.88,279.056,0.23,118920.905,0.2903341101844,FALSE,35923,74,485.446
2023,33100.368,21.94,8006.767,5.31,97562.367,64.66,12171.146,8.07,42.932,0.03,150883.58,0.93626341672827,FALSE,68358,188,363.606
