"quantity","region","horizon_yr","rho","statistic","value","unit"
"single_project","California",30,NA,"mean_loss",347,"kg_per_tonne"
"single_project","California",30,NA,"car_95",475.3,"kg_per_tonne"
"single_project","California",30,NA,"cvar_95",503.3,"kg_per_tonne"
"single_project","California",100,NA,"mean_loss",548.6,"kg_per_tonne"
"single_project","California",100,NA,"car_95",648.8,"kg_per_tonne"
"single_project","California",100,NA,"cvar_95",671.9,"kg_per_tonne"
"single_project","California",200,NA,"mean_loss",631.7,"kg_per_tonne"
"single_project","California",200,NA,"car_95",730.6,"kg_per_tonne"
"single_project","California",200,NA,"cvar_95",752.4,"kg_per_tonne"
"single_project","Mato Grosso",30,NA,"mean_loss",313,"kg_per_tonne"
"single_project","Mato Grosso",30,NA,"car_95",361.4,"kg_per_tonne"
"single_project","Mato Grosso",30,NA,"cvar_95",374.7,"kg_per_tonne"
"single_project","Mato Grosso",100,NA,"mean_loss",461.6,"kg_per_tonne"
"single_project","Mato Grosso",100,NA,"car_95",506.4,"kg_per_tonne"
"single_project","Mato Grosso",100,NA,"cvar_95",516.8,"kg_per_tonne"
"single_project","Mato Grosso",200,NA,"mean_loss",540.6,"kg_per_tonne"
"single_project","Mato Grosso",200,NA,"car_95",587.4,"kg_per_tonne"
"single_project","Mato Grosso",200,NA,"cvar_95",598.6,"kg_per_tonne"
"single_project","Papua",30,NA,"mean_loss",14,"kg_per_tonne"
"single_project","Papua",30,NA,"car_95",22.6,"kg_per_tonne"
"single_project","Papua",30,NA,"cvar_95",25.2,"kg_per_tonne"
"single_project","Papua",100,NA,"mean_loss",35.8,"kg_per_tonne"
"single_project","Papua",100,NA,"car_95",49.4,"kg_per_tonne"
"single_project","Papua",100,NA,"cvar_95",53,"kg_per_tonne"
"single_project","Papua",200,NA,"mean_loss",56.5,"kg_per_tonne"
"single_project","Papua",200,NA,"car_95",74.4,"kg_per_tonne"
"single_project","Papua",200,NA,"cvar_95",79,"kg_per_tonne"
"single_project","California",30,NA,"cvar_uplift",5.9,"percent"
"single_project","California",100,NA,"cvar_uplift",3.56,"percent"
"single_project","California",200,NA,"cvar_uplift",2.98,"percent"
"single_project","Mato Grosso",30,NA,"cvar_uplift",3.66,"percent"
"single_project","Mato Grosso",100,NA,"cvar_uplift",2.04,"percent"
"single_project","Mato Grosso",200,NA,"cvar_uplift",1.91,"percent"
"single_project","Papua",30,NA,"cvar_uplift",11.39,"percent"
"single_project","Papua",100,NA,"cvar_uplift",7.38,"percent"
"single_project","Papua",200,NA,"cvar_uplift",6.24,"percent"
"portfolio_panel_d","California",100,0,"car_K1",648.81,"kg_per_tonne"
"portfolio_panel_d","California",100,0,"car_K100",560.37,"kg_per_tonne"
"portfolio_panel_d","California",100,0,"div_benefit_kg",88.44,"kg_per_tonne"
"portfolio_panel_d","California",100,0,"div_benefit_pct",13.63,"percent"
"portfolio_panel_d","California",100,0.1,"car_K1",647.81,"kg_per_tonne"
"portfolio_panel_d","California",100,0.1,"car_K100",577.73,"kg_per_tonne"
"portfolio_panel_d","California",100,0.1,"div_benefit_kg",70.08,"kg_per_tonne"
"portfolio_panel_d","California",100,0.1,"div_benefit_pct",10.82,"percent"
"portfolio_panel_d","California",100,0.25,"car_K1",646.58,"kg_per_tonne"
"portfolio_panel_d","California",100,0.25,"car_K100",593.47,"kg_per_tonne"
"portfolio_panel_d","California",100,0.25,"div_benefit_kg",53.11,"kg_per_tonne"
"portfolio_panel_d","California",100,0.25,"div_benefit_pct",8.21,"percent"
"portfolio_panel_e","California",100,0,"car_K1",648.8,"kg_per_tonne"
"portfolio_panel_e","California",100,0,"car_K10",582.2,"kg_per_tonne"
"portfolio_panel_e","California",100,0,"car_K100",560.4,"kg_per_tonne"
"portfolio_panel_e","California",100,0,"div_benefit_kg",88.4,"kg_per_tonne"
"portfolio_panel_e","California",100,0,"div_benefit_pct",13.63,"percent"
"portfolio_panel_e","California",100,0.05,"car_K1",647.4,"kg_per_tonne"
"portfolio_panel_e","California",100,0.05,"car_K10",585.6,"kg_per_tonne"
"portfolio_panel_e","California",100,0.05,"car_K100",570.7,"kg_per_tonne"
"portfolio_panel_e","California",100,0.05,"div_benefit_kg",76.7,"kg_per_tonne"
