region,spec,window,horizon,mean_loss,car_95,car_99
California,fire only,Full record (2001-25),0,0,0,0
California,fire only,Full record (2001-25),1,17.73133328845201,73.63255264960378,113.18372386571274
California,fire only,Full record (2001-25),2,34.665018375609485,116.62799225562537,142.60722996844032
California,fire only,Full record (2001-25),3,52.10896789052681,137.74472591813955,184.3969983539786
California,fire only,Full record (2001-25),4,67.97702480991995,157.69456776605048,217.42909326042982
California,fire only,Full record (2001-25),5,84.30322612506863,183.84528957948095,242.94221337968474
California,fire only,Full record (2001-25),6,99.37479872178837,211.3888996340612,270.77700054407717
California,fire only,Full record (2001-25),7,114.18670581876368,228.9376764837927,292.3514171280685
California,fire only,Full record (2001-25),8,128.36316620197334,245.92699125565937,309.64066561914785
California,fire only,Full record (2001-25),9,141.919593639926,265.12065266969415,322.6451390098762
California,fire only,Full record (2001-25),10,155.06107357235084,281.6384490575931,336.07367683362287
California,fire only,Full record (2001-25),11,168.02798629188675,298.3233365628926,356.6798886871779
California,fire only,Full record (2001-25),12,180.40606586668483,310.0461554919963,366.1266973750462
California,fire only,Full record (2001-25),13,192.47417391063087,324.1085728876469,381.3929892157315
California,fire only,Full record (2001-25),14,204.44596915637825,336.91586246063093,388.97736049929216
California,fire only,Full record (2001-25),15,215.91804221802207,345.77305706924034,400.8757764711505
California,fire only,Full record (2001-25),16,227.15271872325417,358.0718391175611,410.91293405020355
California,fire only,Full record (2001-25),17,237.93904689346653,369.85581446380326,422.72039150896586
California,fire only,Full record (2001-25),18,248.04715795296477,380.3206171106985,433.4327699545715
California,fire only,Full record (2001-25),19,257.7082641646312,391.0320747473309,444.2342711075333
California,fire only,Full record (2001-25),20,267.5977818118157,397.12240577378924,452.4037256301699
California,fire only,Full record (2001-25),21,277.1668553051416,407.6684572132977,461.2920804697987
California,fire only,Full record (2001-25),22,285.848030552869,416.049077205713,473.9663754435927
California,fire only,Full record (2001-25),23,294.67782470810323,423.78433390727747,478.399708265403
California,fire only,Full record (2001-25),24,303.1025246347463,432.9342679498869,486.85862944102854
California,fire only,Full record (2001-25),25,311.1396046485056,440.59626449739733,489.8418883033506
California,fire only,Full record (2001-25),26,319.0663689453647,450.25106701088936,495.63447958082594
California,fire only,Full record (2001-25),27,326.3326519074722,455.3396904610568,500.339851936891
California,fire only,Full record (2001-25),28,333.59638692312444,460.82086301195886,506.39517911832934
California,fire only,Full record (2001-25),29,340.10472067113784,468.110066135142,522.2777613034333
California,fire only,Full record (2001-25),30,347.04636738200463,475.2726039442332,523.6268948051501
California,fire only,Full record (2001-25),31,353.9162852569853,479.66162571583504,527.4248177849031
California,fire only,Full record (2001-25),32,359.85850409186367,484.55617127329737,533.6511114311058
California,fire only,Full record (2001-25),33,366.08412839794505,487.23748834639696,536.1008194183992
California,fire only,Full record (2001-25),34,371.61079726848504,493.0344997501691,539.4245538378468
California,fire only,Full record (2001-25),35,378.2438461760847,499.58832651979634,543.4323048615537
California,fire only,Full record (2001-25),36,383.9329016798803,506.063955685094,550.2339572720939
California,fire only,Full record (2001-25),37,389.60659045814884,510.3297491745995,558.0093138060412
California,fire only,Full record (2001-25),38,394.70625143835963,513.2750647381771,560.8375618031093
California,fire only,Full record (2001-25),39,399.6109218821284,521.3173177240328,562.0889557685672
California,fire only,Full record (2001-25),40,404.79577720190474,525.0521973197173,573.5209949490006
California,fire only,Full record (2001-25),41,409.324039338158,531.2168984754696,574.6848479671412
California,fire only,Full record (2001-25),42,413.8006528650971,532.1763190121056,577.9179570267753
California,fire only,Full record (2001-25),43,418.41375588777345,536.6655534186287,582.1858738986344
