"K","rho","car_95","expected"
1,0,648.809969532982,548.597950473863
2,0,619.633308573115,549.382374674482
5,0,594.598708074729,549.599103500917
10,0,582.338879441116,550.132586423222
20,0,572.080828147388,550.016733995829
50,0,564.386745406655,549.976433045058
100,0,560.307025846227,550.27099999086
200,0,557.263259148363,550.092360453719
500,0,554.692611130135,550.133400565787
1,0.05,647.415421724233,549.706437513732
2,0.05,620.018175158381,549.550678257645
5,0.05,596.855646237164,549.47803034475
10,0.05,584.980434889863,550.361676659539
20,0.05,578.531992992381,550.111853178565
50,0.05,572.775441801008,549.97535036228
100,0.05,570.810880134773,550.33523638947
200,0.05,569.571722444567,550.085231138735
500,0.05,568.927188550722,550.164942941969
1,0.07,647.408500959975,549.683194704413
2,0.07,620.227996700299,549.551988448139
5,0.07,597.558249848522,549.558116040001
10,0.07,586.289093459841,550.353097889924
20,0.07,581.056542768713,550.071837873611
50,0.07,575.589851285229,549.955919306941
100,0.07,573.772178410382,550.362156162655
200,0.07,572.897445572761,550.055338499494
500,0.07,572.258823894017,550.16346506644
1,0.1,647.812279054682,549.630080480746
2,0.1,620.492030769681,549.595967898631
5,0.1,599.367447185036,549.660161631871
10,0.1,588.43653412724,550.333277142973
20,0.1,584.158076547839,550.020115190297
50,0.1,579.175935271785,549.936607480255
100,0.1,577.787653276192,550.400406470601
200,0.1,576.951751001031,550.016055771151
500,0.1,576.467805371973,550.162545975233
1,0.25,646.583063437137,549.565690019248
2,0.25,624.485639206351,549.733797099138
5,0.25,607.575089697434,550.126102314314
10,0.25,599.745102931902,550.32488561319
20,0.25,597.03136026473,549.956066339814
50,0.25,593.010371219549,549.890443011997
100,0.25,592.868281660369,550.529970748017
200,0.25,593.129515607243,549.826226912207
500,0.25,592.249997002337,550.1498470651
1,0.5,645.596951424159,549.336504377671
2,0.5,632.001888501141,549.831079876817
5,0.5,622.57946286169,550.812773179991
10,0.5,616.567141106506,550.416006281056
20,0.5,615.839641106126,549.976597773452
50,0.5,611.486932641084,549.896654063864
100,0.5,613.864132179588,550.678718393272
200,0.5,613.875616748742,549.538666639923
500,0.5,612.359690926142,550.115562235718
